json index,label index,Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign,end frame of video clip containing the sign,start frame of the sign,end frame of the sign,Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,video file,sign type
1091,62,1103,ART/DESIGN,ART/DESIGN,ART/DESIGN,2077,2203,2127,2153,I,B-L,I,B-L,ASL_2008_08_04_scene14-camera1.mov,Lexical Signs
1092,62,1104,ART/DESIGN,ART/DESIGN,ART/DESIGN,1450,1575,1500,1525,I,B-L,I,B-L,ASL_2008_08_06_scene23-camera1.mov,Lexical Signs
1093,62,1105,ART/DESIGN,ART/DESIGN,ART/DESIGN,200,344,250,294,I,B-L,I,B-L,ASL_2011_06_14_Brady_scene7-camera1.mov,Lexical Signs
1094,62,1106,ART/DESIGN,ART/DESIGN_2,ART/DESIGN_2+,1775,1916,1825,1866,I,B-L,I,B-L,ASL_2008_01_18_scene23-camera1.mov,Lexical Signs
1095,62,1107,ART/DESIGN,ART/DESIGN_2,ART/DESIGN_2+,1670,1810,1720,1760,I,B-L,I,B-L,ASL_2008_08_06_scene23-camera1.mov,Lexical Signs
1096,62,1108,ART/DESIGN,ART/DESIGN_2,ART/DESIGN_2+,2828,2957,2878,2907,I,B-L,I,B-L,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs
1097,62,1109,ART/DESIGN,ART/DESIGN_2,ART/DESIGN_2+,464,595,514,545,I,B-L,I,B-L,ASL_2011_06_14_Brady_scene7-camera1.mov,Lexical Signs
1098,62,1110,ART/DESIGN,ART/DESIGN_2,ART/DESIGN_2+,794,929,844,879,I,B-L,I,B-L,ASL_2011_07_22_Brady_scene42-camera1.mov,Lexical Signs
1154,131,1167,AVERAGE,AVERAGE,AVERAGE,2325,2443,2375,2393,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene17-camera1.mov,Lexical Signs
1155,131,1168,AVERAGE,AVERAGE,AVERAGE,1790,1935,1840,1885,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene27-camera1.mov,Lexical Signs
1156,131,1169,AVERAGE,AVERAGE,AVERAGE,9225,9360,9275,9310,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs
1157,131,1171,AVERAGE,AVERAGE/RANGE,AVERAGE/RANGE,2830,3000,2880,2950,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene17-camera1.mov,Lexical Signs
1158,132,1172,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,1855,2015,1905,1965,10,A,10,A,ASL_2008_01_11_scene26-camera1.mov,Lexical Signs
1159,132,1173,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,1111,1235,1161,1185,10,10,10,10,ASL_2008_01_11_scene38-camera1.mov,Lexical Signs
1160,132,1174,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,3135,3261,3185,3211,10,10,10,10,ASL_2008_05_12a_scene17-camera1.mov,Lexical Signs
1161,132,1175,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,2320,2475,2370,2425,10,10,10,10,ASL_2008_05_12a_scene24-camera1.mov,Lexical Signs
1162,132,1176,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,2650,2780,2700,2730,10,10,10,10,ASL_2008_08_04_scene17-camera1.mov,Lexical Signs
1163,132,1177,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,2047,2182,2097,2132,10,10,10,10,ASL_2008_08_04_scene25-camera1.mov,Lexical Signs
1164,132,1178,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,3358,3487,3408,3437,10,10,10,10,ASL_2011_06_08_Brady_scene14-camera1.mov,Lexical Signs
1165,132,1179,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,AVOID/FALL-BEHIND,7504,7618,7554,7568,10,10,10,10,ASL_2011_06_08_Brady_scene18-camera1.mov,Lexical Signs
1166,133,1180,AWKWARD,AWKWARD,AWKWARD,1065,1230,1115,1180,3,3,3,3,ASL_2008_01_11_scene27-camera1.mov,Lexical Signs
1167,133,1181,AWKWARD,AWKWARD,AWKWARD,260,402,310,352,3,3,3,3,ASL_2008_05_12a_scene18-camera1.mov,Lexical Signs
1168,133,1182,AWKWARD,AWKWARD,AWKWARD,193,333,243,283,3,3,3,3,ASL_2008_08_04_scene18-camera1.mov,Lexical Signs
1169,133,1183,AWKWARD,AWKWARD,AWKWARD,4266,4406,4316,4356,3,3,3,3,ASL_2011_06_08_Brady_scene14-camera1.mov,Lexical Signs
1170,133,1184,AWKWARD,AWKWARD,AWKWARD,976,1139,1026,1089,3,3,3,3,ASL_2006_10_10_scene3-camera1.mov,Lexical Signs
1171,133,1185,AWKWARD,AWKWARD,AWKWARD,956,1119,1006,1069,3,3,3,3,ASL_2007_05_24_scene7-camera1.mov,Lexical Signs
1180,134,1194,SINGLE,BACHELOR,BACHELOR,265,400,315,350,B,,B,,ASL_2008_01_11_scene28-camera1.mov,Lexical Signs
1181,134,1195,SINGLE,BACHELOR,BACHELOR,950,1075,1000,1025,B,,B,,ASL_2008_05_12a_scene18-camera1.mov,Lexical Signs
1182,134,1196,SINGLE,BACHELOR,BACHELOR,1030,1155,1080,1105,B,,B,,ASL_2008_08_04_scene18-camera1.mov,Lexical Signs
1183,134,1197,SINGLE,BACHELOR,BACHELOR,183,313,233,263,B,,B,,ASL_2011_06_08_Brady_scene15-camera1.mov,Lexical Signs
1224,135,1238,BANANA,BANANA,BANANA,745,901,795,851,A,1,A,1,ASL_2008_01_11_scene31-camera1.mov,Lexical Signs
1225,135,1239,BANANA,BANANA,BANANA,3895,4050,3945,4000,baby-O,1,baby-O,1,ASL_2008_02_15_scene33-camera1.mov,Lexical Signs
1226,135,1240,BANANA,BANANA,BANANA,1955,2125,2005,2075,baby-O,1,baby-O,1,ASL_2008_05_12a_scene20-camera1.mov,Lexical Signs
1227,135,1241,BANANA,BANANA,BANANA,1300,1460,1350,1410,X-over-thumb,D,X-over-thumb,D,ASL_2008_08_04_scene20-camera1.mov,Lexical Signs
1228,135,1242,BANANA,BANANA,BANANA,2053,2186,2103,2136,baby-O,1,baby-O,1,ASL_2011_06_08_Brady_scene16-camera1.mov,Lexical Signs
1229,135,1243,BANANA,BANANA,BANANA,2753,2911,2803,2861,baby-O,1,baby-O,1,ASL_2011_07_19_Brady_scene28-camera1.mov,Lexical Signs
1238,136,1252,BAR,BAR,BAR,185,335,235,285,A,,A,,ASL_2008_01_11_scene11-camera1.mov,Lexical Signs
1239,136,1253,BAR,BAR,BAR,250,385,300,335,10,,10,,ASL_2008_01_11_scene32-camera1.mov,Lexical Signs
1240,136,1254,BAR,BAR,BAR,3425,3575,3475,3525,10,,10,,ASL_2008_05_12a_scene20-camera1.mov,Lexical Signs
1241,136,1255,BAR,BAR,BAR,2997,3118,3047,3068,A,,A,,ASL_2008_08_04_scene20-camera1.mov,Lexical Signs
1242,136,1256,BAR,BAR,BAR,2361,2488,2411,2438,10,,10,,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs
1243,136,1257,BAR,BAR,BAR,5176,5305,5226,5255,10,,10,,ASL_2011_06_08_Brady_scene16-camera1.mov,Lexical Signs
1244,136,1258,BAR,BAR,BAR,332,462,382,412,10,,10,,ASL_2011_07_19_Brady_scene34-camera1.mov,Lexical Signs
1257,59,1271,BASKETBALL,BASKETBALL,BASKETBALL,990,1115,1040,1065,crvd-3,crvd-3,crvd-3,crvd-3,ASL_2008_01_11_scene33-camera1.mov,Lexical Signs
1258,59,1272,BASKETBALL,BASKETBALL,BASKETBALL,2370,2505,2420,2455,crvd-3,crvd-3,crvd-3,crvd-3,ASL_2008_05_12a_scene21-camera1.mov,Lexical Signs
1259,59,1273,BASKETBALL,BASKETBALL,BASKETBALL,2600,2717,2650,2667,crvd-3,crvd-3,crvd-3,crvd-3,ASL_2008_08_04_scene22-camera1.mov,Lexical Signs
1271,78,1285,BAWL-OUT,BAWL-OUT,BAWL-OUT,1515,1640,1565,1590,S,S,4,4,ASL_2008_01_11_scene34-camera1.mov,Lexical Signs
1272,78,1286,BAWL-OUT,BAWL-OUT,BAWL-OUT,1300,1454,1350,1404,S,S,4,4,ASL_2010_08_10_Liz_additional_lexicon_signs_scene24-camera1.mov,Lexical Signs
1273,78,1287,BAWL-OUT,BAWL-OUT,BAWL-OUT,2215,2341,2265,2291,S,S,5,4,ASL_2008_05_12a_scene22-camera1.mov,Lexical Signs
1274,78,1288,BAWL-OUT,BAWL-OUT,BAWL-OUT,2672,2796,2722,2746,S,S,5,4,ASL_2008_08_04_scene23-camera1.mov,Lexical Signs
1275,78,1289,BAWL-OUT,BAWL-OUT,BAWL-OUT,5194,5309,5244,5259,S,S,5,4,ASL_2011_06_08_Brady_scene17-camera1.mov,Lexical Signs
1289,137,1303,BEAT,BEAT,BEAT,1965,2090,2015,2040,S,S,S,S,ASL_2008_01_18_scene3-camera1.mov,Lexical Signs
1290,137,1304,BEAT,BEAT,BEAT,1480,1595,1530,1545,S,S,S,S,ASL_2008_08_06_scene3-camera1.mov,Lexical Signs
1291,137,1305,BEAT,BEAT_2,BEAT_2,5955,6102,6005,6052,S,D,S,D,ASL_2010_08_10_Liz_additional_lexicon_signs_scene17-camera1.mov,Lexical Signs
1292,137,1306,BEAT,BEAT_2,BEAT_2,1510,1640,1560,1590,S,1,S,1,ASL_2008_05_12b_scene3-camera1.mov,Lexical Signs
1293,137,1307,BEAT,BEAT_2,BEAT_2,10623,10762,10673,10712,S,1,S,1,ASL_2011_06_08_Brady_scene17-camera1.mov,Lexical Signs
1294,137,1308,BEAT,BEAT_2,BEAT_2,16063,16190,16113,16140,S,1,S,1,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs
1297,138,1311,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,2715,2855,2765,2805,5,,flat-O,,ASL_2008_02_15_scene47-camera1.mov,Lexical Signs
1298,138,1312,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,1191,1315,1241,1265,5,,flat-O,,ASL_2008_05_12a_scene23-camera1.mov,Lexical Signs
1299,138,1313,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,1050,1163,1100,1113,5,,flat-O,,ASL_2008_08_04_scene24-camera1.mov,Lexical Signs
1300,138,1314,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,407,529,457,479,5,,flat-O,,ASL_2011_06_08_Brady_scene18-camera1.mov,Lexical Signs
1301,138,1315,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,187,306,237,256,5,,flat-O,,ASL_2011_07_19_Brady_scene42-camera1.mov,Lexical Signs
1302,138,1316,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,2187,2302,2237,2252,5,,flat-O,,ASL_2006_10_10_scene21-camera1.mov,Lexical Signs
1303,138,1317,BEAUTIFUL,BEAUTIFUL,BEAUTIFUL,2361,2501,2411,2451,5,,flat-O,,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs
1304,138,1318,BEAUTIFUL,BEAUTIFUL_2,BEAUTIFUL_2,420,571,470,521,5,,5,,ASL_2008_01_11_scene36-camera1.mov,Lexical Signs
1320,34,1334,BED,BED,BED,1270,1400,1320,1350,B-L,,B-L,,ASL_2008_01_11_scene36-camera1.mov,Lexical Signs
1321,34,1335,BED,BED,BED,2123,2241,2173,2191,B-L,,B-L,,ASL_2008_08_04_scene24-camera1.mov,Lexical Signs
1322,34,1336,BED,BED,BED,3717,3837,3767,3787,B-L,,B-L,,ASL_2011_06_08_Brady_scene18-camera1.mov,Lexical Signs
1323,34,1337,BED,BED,BED,3996,4114,4046,4064,B-L,,B-L,,ASL_2011_07_19_Brady_scene86-camera1.mov,Lexical Signs
1338,139,1352,BEHAVIOR,BEHAVIOR,BEHAVIOR,445,585,495,535,B,B,B,B,ASL_2008_01_11_scene38-camera1.mov,Lexical Signs
1339,139,1353,BEHAVIOR,BEHAVIOR,BEHAVIOR+,1590,1745,1640,1695,B,B,B,B,ASL_2008_05_12a_scene24-camera1.mov,Lexical Signs
1340,139,1354,BEHAVIOR,BEHAVIOR,BEHAVIOR+,1905,2040,1955,1990,B,B,B,B,ASL_2008_05_12a_scene24-camera1.mov,Lexical Signs
1341,139,1355,BEHAVIOR,BEHAVIOR,BEHAVIOR+,1532,1690,1582,1640,B,B,B,B,ASL_2008_08_04_scene25-camera1.mov,Lexical Signs
1342,139,1356,BEHAVIOR,BEHAVIOR,BEHAVIOR+,6692,6833,6742,6783,B,B,B,B,ASL_2011_06_08_Brady_scene18-camera1.mov,Lexical Signs
1343,139,1357,BEHAVIOR,BEHAVIOR,BEHAVIOR+,2234,2415,2284,2365,B-xd,B-xd,B-xd,B-xd,ASL_2007_05_24_scene7-camera1.mov,Lexical Signs
1349,57,1363,BELONG,BELONG,BELONG,1475,1610,1525,1560,open-8,open-8,8,8,ASL_2008_01_11_scene39-camera1.mov,Lexical Signs
1350,57,1364,BELONG,BELONG,BELONG,1742,1875,1792,1825,25,25,8,8,ASL_2008_01_18_scene3-camera1.mov,Lexical Signs
1351,57,1365,BELONG,BELONG,BELONG,1257,1385,1307,1335,5,5,8,8,ASL_2008_05_12b_scene3-camera1.mov,Lexical Signs
1352,57,1366,BELONG,BELONG,BELONG,1731,1872,1781,1822,open-8,open-8,8,8,ASL_2008_08_04_scene26-camera1.mov,Lexical Signs
1353,57,1367,BELONG,BELONG,BELONG,1260,1385,1310,1335,open-8,open-8,8,8,ASL_2008_08_06_scene3-camera1.mov,Lexical Signs
1354,57,1368,BELONG,BELONG,BELONG,4295,4414,4345,4364,crvd-5,crvd-5,8,8,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs
1355,57,1369,BELONG,BELONG,BELONG,15828,15947,15878,15897,25,25,8,8,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs
1370,140,1384,BERRY,BERRY,BERRY,635,760,685,710,O,I,O,I,ASL_2010_08_10_Liz_additional_lexicon_signs_scene9-camera1.mov,Lexical Signs
1371,140,1385,BERRY,BERRY,BERRY,5290,5442,5340,5392,O,I,O,I,ASL_2008_05_12a_scene44-camera1.mov,Lexical Signs
1372,140,1386,BERRY,BERRY,BERRY,3445,3566,3495,3516,flat-O,I,flat-O,I,ASL_2008_08_04_scene46-camera1.mov,Lexical Signs
1373,140,1387,BERRY,BERRY,BERRY,7619,7756,7669,7706,fanned-flat-O,I,fanned-flat-O,I,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs
1374,140,1388,BERRY,BERRY,BERRY,4604,4740,4654,4690,O,I,O,I,ASL_2011_06_08_Brady_scene27-camera1.mov,Lexical Signs
1375,140,1389,BERRY,BERRY,BERRY,2026,2175,2076,2125,O,I,O,I,ASL_2011_07_19_Brady_scene100-camera1.mov,Lexical Signs
1376,140,1390,BERRY,BERRY,BERRY,96,255,146,205,O,I,O,I,ASL_2011_07_22_Brady_scene40-camera1.mov,Lexical Signs
1377,141,1391,BETTER,BEST,BEST,210,335,260,285,B-L,,10,,ASL_2008_01_11_scene41-camera1.mov,Lexical Signs
1378,141,1392,BETTER,BEST,BEST,1080,1205,1130,1155,B-L,,10,,ASL_2008_05_12a_scene26-camera1.mov,Lexical Signs
1379,141,1393,BETTER,BEST,BEST,1111,1235,1161,1185,B-L,,10,,ASL_2008_08_04_scene27-camera1.mov,Lexical Signs
1380,141,1394,BETTER,BEST,BEST,8240,8360,8290,8310,B-L,,10,,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs
1388,141,1402,BETTER,BETTER,BETTER,591,730,641,680,B-L,,10,,ASL_2008_01_11_scene41-camera1.mov,Lexical Signs
1389,141,1403,BETTER,BETTER,BETTER,1540,1660,1590,1610,B-L,,10,,ASL_2008_05_12a_scene26-camera1.mov,Lexical Signs
1390,141,1404,BETTER,BETTER,BETTER,1573,1690,1623,1640,B-L,,10,,ASL_2008_08_04_scene27-camera1.mov,Lexical Signs
1391,141,1405,BETTER,BETTER,BETTER,8987,9105,9037,9055,B-L,,10,,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs
1400,142,1414,BIG,BIG,BIG,375,500,425,450,L-X,L-X,L-X,L-X,ASL_2008_01_11_scene42-camera1.mov,Lexical Signs
1401,142,1415,BIG,BIG,BIG,3552,3665,3602,3615,L-X,L-X,L-X,L-X,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1402,142,1416,BIG,BIG,BIG,503,648,553,598,L-X,L-X,L-X,L-X,ASL_2006_01_20_scene22-camera1.mov,Lexical Signs
1403,143,1417,BIG-HEADED,BIG-HEADED,BIG-HEADED,2893,3053,2943,3003,L,L,L-X,L-X,ASL_2010_08_10_Liz_additional_lexicon_signs_scene6-camera1.mov,Lexical Signs
1404,143,1418,BIG-HEADED,BIG-HEADED,BIG-HEADED,3631,3760,3681,3710,L-X,L-X,L-X,L-X,ASL_2008_05_29a_scene8-camera1.mov,Lexical Signs
1405,143,1419,BIG-HEADED,BIG-HEADED,BIG-HEADED,265,385,315,335,L-X,L-X,L-X,L-X,ASL_2008_05_29a_scene9-camera1.mov,Lexical Signs
1406,143,1420,BIG-HEADED,BIG-HEADED,BIG-HEADED,3763,3894,3813,3844,L-X,L-X,L-X,L-X,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1407,143,1421,BIG-HEADED,BIG-HEADED,BIG-HEADED,5271,5393,5321,5343,L-X,L-X,L-X,L-X,ASL_2011_06_14_Brady_scene10-camera1.mov,Lexical Signs
1408,143,1422,BIG-HEADED,BIG-HEADED,BIG-HEADED,5808,5940,5858,5890,L-X,L-X,L-X,L-X,ASL_2011_06_14_Brady_scene10-camera1.mov,Lexical Signs
1409,143,1423,BIG-HEADED,BIG-HEADED,BIG-HEADED,1417,1531,1467,1481,L-X,L-X,L-X,L-X,ASL_2006_10_10_scene8-camera1.mov,Lexical Signs
1411,142,1425,BIG,BIG_2,BIG_2,1520,1665,1570,1615,L-X,L-X,L-X,L-X,ASL_2008_02_01_scene4-camera1.mov,Lexical Signs
1412,142,1426,BIG,BIG_2,BIG_2,3472,3605,3522,3555,L-X,L-X,L-X,L-X,ASL_2008_02_01_scene43-camera1.mov,Lexical Signs
1413,142,1427,BIG,BIG_2,BIG_2,2926,3045,2976,2995,L-X,L-X,L-X,L-X,ASL_2008_05_12a_scene26-camera1.mov,Lexical Signs
1414,142,1428,BIG,BIG_2,BIG_2,2382,2496,2432,2446,L-X,L-X,L-X,L-X,ASL_2008_05_29b_scene16-camera1.mov,Lexical Signs
1415,142,1429,BIG,BIG_2,BIG_2,2287,2415,2337,2365,L-X,L-X,L-X,L-X,ASL_2008_08_13_scene4-camera1.mov,Lexical Signs
1416,142,1430,BIG,BIG_2,BIG_2,3382,3503,3432,3453,L-X,L-X,L-X,L-X,ASL_2008_08_13_scene36-camera1.mov,Lexical Signs
1417,142,1431,BIG,BIG_3,BIG_3,2735,2860,2785,2810,L-X,L-X,L-X,L-X,ASL_2008_08_04_scene27-camera1.mov,Lexical Signs
1418,142,1432,BIG,BIG_4,BIG_4,4844,4975,4894,4925,L-X,L-X,L-X,L-X,ASL_2011_06_14_Brady_scene25-camera1.mov,Lexical Signs
1419,142,1433,BIG,BIG_4,BIG_4,4691,4818,4741,4768,L-X,L-X,L-X,L-X,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs
1426,144,1440,MILLION/BILLION,MILLION/BILLION,MILLION/BILLION+,1355,1485,1405,1435,bent-B-L,B-L,bent-B-L,B-L,ASL_2008_01_11_scene42-camera1.mov,Number Signs
1427,144,1441,MILLION/BILLION,MILLION/BILLION,MILLION/BILLION+,2398,2535,2448,2485,bent-B-L,B-L,bent-B-L,B-L,ASL_2011_07_19_Brady_scene2-camera1.mov,Number Signs
1428,144,5858,MILLION/BILLION,MILLION/BILLION,MILLION/BILLION,1237,1380,1287,1330,bent-B-L,B-L,bent-B-L,B-L,ASL_2008_02_15_scene5-camera1.mov,Number Signs
1429,144,5859,MILLION/BILLION,MILLION/BILLION,MILLION/BILLION,1315,1460,1365,1410,bent-B-L,B-L,bent-B-L,B-L,ASL_2008_02_15_scene23-camera1.mov,Number Signs
1430,144,5860,MILLION/BILLION,MILLION/BILLION,MILLION/BILLION,2637,2759,2687,2709,bent-B-L,B-L,bent-B-L,B-L,ASL_2006_10_10_scene19-camera1.mov,Number Signs
1431,144,5861,MILLION/BILLION,MILLION/BILLION,MILLION/BILLION,2571,2706,2621,2656,bent-B-L,B-L,bent-B-L,B-L,ASL_2007_05_24_scene21-camera1.mov,Number Signs
1432,144,1442,MILLION/BILLION,MILLION/BILLION_2,MILLION/BILLION_2,667,796,717,746,bent-B-L,B-L,bent-B-L,B-L,ASL_2008_06_10_scene15-camera1.mov,Number Signs
1433,144,1443,MILLION/BILLION,MILLION/BILLION_2,MILLION/BILLION_2+,607,760,657,710,bent-B-L,B-L,bent-B-L,B-L,ASL_2008_05_12a_scene27-camera1.mov,Number Signs
1439,145,1449,BIRD,BIRD,BIRD,208,343,258,293,L,,flat-G,,ASL_2008_01_11_scene43-camera1.mov,Lexical Signs
1440,145,1452,BIRD,BIRD,BIRD+,310,455,360,405,G,,baby-O,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov,Lexical Signs
1441,145,1453,BIRD,BIRD,BIRD+,2361,2500,2411,2450,L,,flat-G,,ASL_2008_05_12a_scene27-camera1.mov,Lexical Signs
1442,145,1454,BIRD,BIRD,BIRD+,6801,6925,6851,6875,L,,flat-G,,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1443,145,1455,BIRD,BIRD,BIRD+,6320,6445,6370,6395,L,,baby-O,,ASL_2011_06_08_Brady_scene27-camera1.mov,Lexical Signs
1444,145,1456,BIRD,BIRD,BIRD+,580,741,630,691,L,,flat-G,,ASL_2007_05_24_scene8-camera1.mov,Lexical Signs
1445,145,207665,BIRD,BIRD,BIRD+,2156,2284,2206,2234,L,,flat-G,,ASL_2008_08_04_scene28-camera1.mov,Lexical Signs
1446,145,207666,BIRD,BIRD,BIRD,711,845,761,795,L,,flat-G,,ASL_2006_10_10_scene4-camera1.mov,Lexical Signs
1447,93,1457,BORN,BIRTH,BIRTH,2155,2272,2205,2222,B,B-L,B,B-L,ASL_2008_05_12a_scene31-camera1.mov,Lexical Signs
1448,146,1458,BIRTHDAY,BIRTHDAY,BIRTHDAY,1305,1440,1355,1390,25,,25,,ASL_2008_01_11_scene43-camera1.mov,Lexical Signs
1449,146,1459,BIRTHDAY,BIRTHDAY,BIRTHDAY,2600,2740,2650,2690,25,,25,,ASL_2008_05_12a_scene27-camera1.mov,Lexical Signs
1450,146,1460,BIRTHDAY,BIRTHDAY,BIRTHDAY,3015,3141,3065,3091,25,,25,,ASL_2008_08_04_scene28-camera1.mov,Lexical Signs
1451,146,1461,BIRTHDAY,BIRTHDAY,BIRTHDAY,7144,7270,7194,7220,25,,25,,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1452,146,1462,BIRTHDAY,BIRTHDAY,BIRTHDAY,7339,7458,7389,7408,25,,25,,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1453,146,1463,BIRTHDAY,BIRTHDAY,BIRTHDAY,7806,7921,7856,7871,25,,25,,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1472,147,1482,BLAME,BLAME,BLAME,955,1090,1005,1040,10,A,10,A,ASL_2008_01_11_scene6-camera1.mov,Lexical Signs
1473,147,1483,BLAME,BLAME,BLAME,485,610,535,560,10,A,10,A,ASL_2008_01_11_scene45-camera1.mov,Lexical Signs
1474,147,1484,BLAME,BLAME,BLAME,3467,3590,3517,3540,10,A,10,A,ASL_2008_05_12a_scene6-camera1.mov,Lexical Signs
1475,147,1485,BLAME,BLAME,BLAME,660,790,710,740,10,S,10,S,ASL_2008_05_12a_scene28-camera1.mov,Lexical Signs
1476,147,1486,BLAME,BLAME,BLAME,4410,4540,4460,4490,10,A,10,A,ASL_2008_08_04_scene4-camera1.mov,Lexical Signs
1477,147,1487,BLAME,BLAME,BLAME,980,1097,1030,1047,10,S,10,S,ASL_2008_08_04_scene29-camera1.mov,Lexical Signs
1478,147,1488,BLAME,BLAME,BLAME,10401,10513,10451,10463,10,10,10,10,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1479,147,1489,BLAME,BLAME,BLAME,2952,3075,3002,3025,10,psv,10,psv,ASL_2011_07_22_Brady_scene38-camera1.mov,Lexical Signs
1480,147,1490,BLAME,BLAME-1p,BLAME-1p,701,860,751,810,10,S,10,S,ASL_2008_02_15_scene14-camera1.mov,Lexical Signs
1481,147,1491,BLAME,BLAME-1p,BLAME-1p,482,621,532,571,10,10,10,10,ASL_2011_07_22_Brady_scene48-camera1.mov,Lexical Signs
1485,53,1495,BLANKET,BLANKET,BLANKET,705,840,755,790,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_01_11_scene45-camera1.mov,Lexical Signs
1486,53,1496,BLANKET,BLANKET,BLANKET,950,1100,1000,1050,bent-B,bent-B,bent-B,bent-B,ASL_2008_01_11_scene45-camera1.mov,Lexical Signs
1487,53,1497,BLANKET,BLANKET,BLANKET,1268,1395,1318,1345,bent-B-xd,bent-B-xd,bent-B-xd,bent-B-xd,ASL_2008_08_04_scene29-camera1.mov,Lexical Signs
1488,53,1498,BLANKET,BLANKET_2,BLANKET_2,915,1055,965,1005,B,B,B,B,ASL_2008_05_12a_scene28-camera1.mov,Lexical Signs
1489,53,1499,BLANKET,BLANKET_2,BLANKET_2,1220,1355,1270,1305,B,B,B,B,ASL_2008_05_12a_scene28-camera1.mov,Lexical Signs
1490,53,1500,BLANKET,BLANKET_2,BLANKET_2,10877,11000,10927,10950,B,B,B,B,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1491,53,1501,BLANKET,BLANKET_3,BLANKET_3,1725,1862,1775,1812,flat-O,flat-O,flat-O,flat-O,ASL_2008_08_04_scene29-camera1.mov,Lexical Signs
1506,148,1516,BLINK/WINK,BLINK/WINK,BLINK/WINK,1035,1170,1085,1120,L,,L,,ASL_2008_01_11_scene46-camera1.mov,Lexical Signs
1507,148,1517,BLINK/WINK,BLINK/WINK,BLINK/WINK,5318,5447,5368,5397,L,,L,,ASL_2008_03_28_scene42-camera1.mov,Lexical Signs
1508,148,1518,BLINK/WINK,BLINK/WINK,BLINK/WINK,526,645,576,595,L,,L,,ASL_2008_05_12a_scene29-camera1.mov,Lexical Signs
1509,148,1519,BLINK/WINK,BLINK/WINK,BLINK/WINK,610,740,660,690,L,,L,,ASL_2008_08_04_scene30-camera1.mov,Lexical Signs
1510,148,1520,BLINK/WINK,BLINK/WINK,BLINK/WINK,16240,16363,16290,16313,L,,L,,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs
1511,148,1521,BLINK/WINK,BLINK/WINK,BLINK/WINK,706,828,756,778,L,,L,,ASL_2011_07_22_Brady_scene31-camera1.mov,Lexical Signs
1534,149,1544,BLUE,BLUE,BLUE,800,925,850,875,B-xd,,B-xd,,ASL_2008_01_11_scene48-camera1.mov,Lexical Signs
1535,149,1545,BLUE,BLUE,BLUE,1157,1290,1207,1240,B-xd,,B-xd,,ASL_2008_05_12a_scene30-camera1.mov,Lexical Signs
1536,149,1546,BLUE,BLUE,BLUE,1282,1397,1332,1347,B-xd,,B-xd,,ASL_2008_08_04_scene31-camera1.mov,Lexical Signs
